Unnamed: 0,smiles,selfies,MW,clogp,tpsa,qed,bcl2,bclw,bclxl,mcl1,SAs,carbon_n,gsk3b,jnk3,s_bcl2,s_bclw,s_mcl1,s_bclxl
0,CCCCCCc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,[C][C][C][C][C][C][C][=C][N][Branch2][Ring2][=Branch2][C][C][C][Branch1][C][O][C][Branch2][Ring1][O][C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][O][Ring2][Ring1][Ring2][C][=Branch1][C][=O][NH1][C][Ring2][Ring1][O][=O],552.0675134339998,0.6510999999999997,244.14,0.1453754372489756,5.661813735961914,5.164520263671875,5.431174278259277,5.137717247009277,4.3182955033515125,15,0.16,0.03,0.0310459402344689,-0.5047766596526703,-1.0475223066024195,-0.1337182175744543
1,CC(C)=CC1COC23CC4(CO2)C(CCC2C5(C)CCC(OC6OCC(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OC(CO)C(O)C6O)C(C)(C)C5CCC24C)C3C1(C)O,[C][C][Branch1][C][C][=C][C][C][O][C][C][C][Branch1][Branch1][C][O][Ring1][Branch1][C][Branch2][#Branch1][#Branch1][C][C][C][C][Branch1][C][C][C][C][C][Branch2][Branch1][Branch1][O][C][O][C][C][Branch1][C][O][C][Branch2][Ring1][Branch1][O][C][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O][C][Ring2][Ring1][Ring1][O][C][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Ring1][Branch2][O][C][Branch1][C][C][Branch1][C][C][C][Ring2][Ring2][#Branch1][C][C][C][Ring2][Ring2][O][Ring2][Ring2][P][C][C][Ring2][Branch1][Branch1][C][Ring2][Branch1][=Branch2][Branch1][C][C][O],898.492600908,0.4633000000000061,255.91,0.1126159972452732,5.021592140197754,4.473813056945801,4.636902809143066,5.362862586975098,7.873630732572372,46,0.03,0.04,-0.8974541565020371,-1.5555092747845134,-0.6938052962839144,-1.1131084929950466
2,CC(=O)OCC1(C(=O)O)C(CC(=O)O)=C(C(=O)OC2=CCOC=C2)C(OC(C)=O)=CC1(OC(C)=O)C(=O)O,[C][C][=Branch1][C][=O][O][C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][=C][Branch1][=C][C][=Branch1][C][=O][O][C][=C][C][O][C][=C][Ring1][=Branch1][C][Branch1][#Branch1][O][C][Branch1][C][C][=O][=C][C][Ring2][Ring1][#Branch2][Branch1][#Branch1][O][C][Branch1][C][C][=O][C][=Branch1][C][=O][O],538.0958700040001,0.2099000000000005,226.33,0.2494114177434241,4.621685028076172,4.751639366149902,4.335557460784912,5.370541572570801,4.804066843566448,23,0.06,0.05,-1.4774311437626908,-1.132868303936462,-0.6817411432901046,-1.484687625824285
3,CN(CCc1ccccc1)C(=O)CNC(=O)C(CCS(C)=O)NC(=O)C(N)Cc1ccc(O)cc1,[C][N][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][Branch1][Branch2][C][C][S][Branch1][C][C][=O][N][C][=Branch1][C][=O][C][Branch1][C][N][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],502.2249911880001,0.3327000000000044,141.83,0.3110819220731383,4.846233367919922,4.502030849456787,4.915529251098633,4.400153636932373,3.4234085472132945,25,0.05,0.03,-1.1517733455153685,-1.5125831917357304,-2.206279556988913,-0.7695433035895136
4,CC(=O)NC1C(OC2C(COC(C)=O)OC(Oc3ccc4c(C)cc(=O)oc4c3)C(NC(C)=O)C2OC(C)=O)OC(COC(C)=O)C(OC(C)=O)C1OC(C)=O,[C][C][=Branch1][C][=O][N][C][C][Branch2][Branch1][#Branch2][O][C][C][Branch1][Branch2][C][O][C][Branch1][C][C][=O][O][C][Branch2][Ring1][=Branch1][O][C][=C][C][=C][C][Branch1][C][C][=C][C][=Branch1][C][=O][O][C][Ring1][Branch2][=C][Ring1][N][C][Branch1][#Branch1][N][C][Branch1][C][C][=O][C][Ring2][Ring1][N][O][C][Branch1][C][C][=O][O][C][Branch1][Branch2][C][O][C][Branch1][C][C][=O][C][Branch1][#Branch1][O][C][Branch1][C][C][=O][C][Ring2][Ring2][S][O][C][Branch1][C][C][=O],792.2589125680001,0.2459200000000063,256.8299999999999,0.1564710866818393,4.569719314575195,4.277708053588866,4.567694187164307,4.546931266784668,5.043544290475335,36,0.0,0.01,-1.5527959398455962,-1.853832386243504,-1.9756829813685977,-1.1984473903076729
5,CC1C(=O)OC2CC1(C)C1C(=O)C3(O)OC14C(O)(CCC1C3C(O)C=C3C=CCC(=O)C31C)C(=O)OC24C,[C][C][C][=Branch1][C][=O][O][C][C][C][Ring1][#Branch1][Branch1][C][C][C][C][=Branch1][C][=O][C][Branch1][C][O][O][C][Ring1][#Branch1][C][Branch1][C][O][Branch2][Ring1][#Branch2][C][C][C][C][Ring1][#Branch2][C][Branch1][C][O][C][=C][C][=C][C][C][=Branch1][C][=O][C][Ring1][#Branch1][Ring1][N][C][C][=Branch1][C][=O][O][C][Ring2][Ring1][S][Ring2][Ring1][=Branch1][C],528.1995472240001,0.5098,156.66,0.3786089061611532,6.539589881896973,6.734101295471191,6.791128158569336,6.835916042327881,7.259603312052525,28,0.02,0.0,1.3040664721971682,1.882935479650212,1.6204511939718056,1.5431966121602838
6,C=CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C=C,[C][=C][C][=Branch1][C][=O][O][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O][C][=Branch1][C][=O][C][=C],522.2676267839997,0.5776000000000054,126.44000000000004,0.0774498225289878,4.56006383895874,4.853017807006836,4.292631149291991,4.711156845092773,2.526229859540868,24,0.0,0.0,-1.566799075796071,-0.9786471907899768,-1.7176746184782563,-1.5376186622149308
7,CC(=O)OCC1OC(N2CNC3C(Sc4ccc(C)cc4)=NC(=O)NC32)C(OC(C)=O)C1OC(C)=O,[C][C][=Branch1][C][=O][O][C][C][O][C][Branch2][Ring1][S][N][C][N][C][C][Branch1][=N][S][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][=N][C][=Branch1][C][=O][N][C][Ring1][#C][Ring2][Ring1][C][C][Branch1][#Branch1][O][C][Branch1][C][C][=O][C][Ring2][Ring1][O][O][C][Branch1][C][C][=O],520.1627848559999,0.91762,144.86,0.4078797837693677,4.666185855865479,4.708633899688722,4.424972057342528,4.616013526916504,4.755153164867658,23,0.05,0.0,-1.4128925165426751,-1.1982900134534469,-1.8671505528333776,-1.374433399461822
8,COc1ccc(-c2oc3c(CC=C(C)C)c(OC4OC(CO)C(O)C(O)C4O)cc(O)c3c(=O)c2OC2OC(C)C(O)C(O)C2O)cc1,[C][O][C][=C][C][=C][Branch2][=Branch1][#Branch2][C][O][C][=C][Branch1][Branch2][C][C][=C][Branch1][C][C][C][C][Branch2][Ring1][Branch1][O][C][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O][=C][C][Branch1][C][O][=C][Ring2][Ring1][Branch2][C][=Branch1][C][=O][C][=Ring2][Ring1][=N][O][C][O][C][Branch1][C][C][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][=Branch2][O][C][=C][Ring2][Ring2][=C],676.2367205799999,0.0678999999999985,238.2,0.1399923623874467,4.657556533813477,4.612299919128418,4.323988914489746,5.39522647857666,4.912247306231364,33,0.09,0.01,-1.425407443269712,-1.3448372831713538,-0.6429596559463673,-1.498952423419049
9,CC(=O)CC(c1ccccc1)c1c(O)c2cccc(OC3OC(C(=O)O)C(O)C(O)C3O)c2oc1=O,[C][C][=Branch1][C][=O][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Branch1][C][O][C][=C][C][=C][C][Branch2][Ring1][Branch2][O][C][O][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][O][O][=C][Ring2][Ring1][Ring1][O][C][Ring2][Ring1][Branch2][=O],500.1318615879997,0.8805999999999996,183.96,0.2901910983160402,4.908190727233887,4.951385974884033,4.534618854522705,4.965520858764648,4.125201948084442,25,0.08,0.01,-1.0619178728209633,-0.829005430471228,-1.3180532962590628,-1.2392315055693357
